idSubmercado;AttMatriz;Iteradores;1;2;3
3;demanda;05/2024;13451.323600000000;12885.694699999998;11384.364599999999
4;demanda;05/2024;7731.900000000000;7360.914000000000;6875.219999999999
5;demanda;05/2024;0;0;0
6;demanda;05/2024;0;0;0
7;demanda;05/2024;0;0;0
8;demanda;05/2024;0;0;0
1;demanda;06/2024;48561.749999999993;44531.887499999997;37120.500000000000
2;demanda;06/2024;15002.499599999999;13567.249199999998;10344.823999999999
3;demanda;06/2024;12818.498000000000;12333.505800000001;10984.065399999999
4;demanda;06/2024;7579.576000000000;7245.920000000000;6828.492000000000
5;demanda;06/2024;0;0;0
6;demanda;06/2024;0;0;0
7;demanda;06/2024;0;0;0
8;demanda;06/2024;0;0;0
1;demanda;07/2024;47738.809799999995;43695.427600000003;36361.018100000001
2;demanda;07/2024;14781.114599999999;13352.136000000000;10152.874200000000
3;demanda;07/2024;12485.564799999998;12008.476000000001;10670.073600000000
4;demanda;07/2024;7355.478000000000;7100.648100000000;6785.110800000000
5;demanda;07/2024;0;0;0
6;demanda;07/2024;0;0;0
7;demanda;07/2024;0;0;0
8;demanda;07/2024;0;0;0
1;demanda;08/2024;48977.383200000004;44941.825799999999;37477.335299999999
2;demanda;08/2024;14832.116000000000;13426.441600000002;10264.924799999999
3;demanda;08/2024;12886.763300000001;12396.772300000001;11016.431800000000
4;demanda;08/2024;7686.241200000000;7368.549100000000;7047.188500000000
5;demanda;08/2024;0;0;0
6;demanda;08/2024;0;0;0
7;demanda;08/2024;0;0;0
8;demanda;08/2024;0;0;0
1;demanda;09/2024;50870.599200000004;48066.217200000006;39025.423800000004
2;demanda;09/2024;14920.886399999999;13678.929600000001;10349.639999999999
3;demanda;09/2024;13343.784000000000;12999.278000000000;11262.036000000000
4;demanda;09/2024;7834.459500000000;7759.164000000000;7084.486500000000
5;demanda;09/2024;0;0;0
6;demanda;09/2024;0;0;0
7;demanda;09/2024;0;0;0
8;demanda;09/2024;0;0;0
1;demanda;10/2024;51574.408400000000;48609.004800000002;39712.794000000002
2;demanda;10/2024;15156.441800000001;13865.091499999999;10639.909000000000
