idRestricaoEletrica;idElementoSistema;tipo_elemento;unidadehidraulica;conjuntohidraulico;hidreletrica;termeletrica;demandaEspecial;unidadeTermeletrica;contrato;intercambio;eolica;usina_elevatoria;tipoVariavelRestricaoOperativa;fator_participacao
64;3;hidreletrica;Nenhum;Nenhum;142;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;4;hidreletrica;Nenhum;Nenhum;161;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;5;termeletrica;Nenhum;Nenhum;Nenhum;93;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;6;termeletrica;Nenhum;Nenhum;Nenhum;94;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;7;termeletrica;Nenhum;Nenhum;Nenhum;97;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;8;termeletrica;Nenhum;Nenhum;Nenhum;101;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;9;termeletrica;Nenhum;Nenhum;Nenhum;102;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;10;termeletrica;Nenhum;Nenhum;Nenhum;96;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;11;termeletrica;Nenhum;Nenhum;Nenhum;95;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;12;termeletrica;Nenhum;Nenhum;Nenhum;92;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;13;termeletrica;Nenhum;Nenhum;Nenhum;119;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;14;termeletrica;Nenhum;Nenhum;Nenhum;120;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;15;termeletrica;Nenhum;Nenhum;Nenhum;121;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;16;termeletrica;Nenhum;Nenhum;Nenhum;122;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;17;termeletrica;Nenhum;Nenhum;Nenhum;123;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;18;termeletrica;Nenhum;Nenhum;Nenhum;124;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
64;19;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;8;Nenhum;Nenhum;Nenhum;0
64;20;intercambio;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;9;Nenhum;Nenhum;Nenhum;0
65;1;hidreletrica;Nenhum;Nenhum;140;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;2;hidreletrica;Nenhum;Nenhum;141;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
65;3;hidreletrica;Nenhum;Nenhum;142;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;Nenhum;0
