idSubmercado;idUsinaNaoSimulada;AttMatriz;Iteradores;1;2;3
2;1;potencia_minima;08/2021;1928.0;2001.0;2017.0
2;1;potencia_maxima;08/2021;1928.0;2001.0;2017.0
3;1;potencia_minima;08/2021;9942.0;11001.0;10329.0
3;1;potencia_maxima;08/2021;9942.0;11001.0;10329.0
4;1;potencia_minima;08/2021;496.0;548.0;559.0
4;1;potencia_maxima;08/2021;496.0;548.0;559.0
1;1;potencia_minima;09/2021;5866.0;5673.0;5735.0
1;1;potencia_maxima;09/2021;5866.0;5673.0;5735.0
2;1;potencia_minima;09/2021;1959.0;2064.0;2027.0
2;1;potencia_maxima;09/2021;1959.0;2064.0;2027.0
3;1;potencia_minima;09/2021;10340.0;11525.0;10941.0
3;1;potencia_maxima;09/2021;10340.0;11525.0;10941.0
4;1;potencia_minima;09/2021;604.0;627.0;638.0
4;1;potencia_maxima;09/2021;604.0;627.0;638.0
1;1;potencia_minima;10/2021;5606.0;5452.0;5488.0
1;1;potencia_maxima;10/2021;5606.0;5452.0;5488.0
2;1;potencia_minima;10/2021;2153.0;2213.0;2156.0
2;1;potencia_maxima;10/2021;2153.0;2213.0;2156.0
3;1;potencia_minima;10/2021;9293.0;10272.0;9625.0
3;1;potencia_maxima;10/2021;9293.0;10272.0;9625.0
4;1;potencia_minima;10/2021;594.0;606.0;588.0
4;1;potencia_maxima;10/2021;594.0;606.0;588.0
1;1;potencia_minima;11/2021;5772.0;5404.0;5476.0
1;1;potencia_maxima;11/2021;5772.0;5404.0;5476.0
2;1;potencia_minima;11/2021;2079.0;2150.0;2056.0
2;1;potencia_maxima;11/2021;2079.0;2150.0;2056.0
3;1;potencia_minima;11/2021;8571.0;9539.0;9197.0
3;1;potencia_maxima;11/2021;8571.0;9539.0;9197.0
4;1;potencia_minima;11/2021;626.0;651.0;654.0
4;1;potencia_maxima;11/2021;626.0;651.0;654.0
1;1;potencia_minima;12/2021;4774.0;4309.0;4372.0
1;1;potencia_maxima;12/2021;4774.0;4309.0;4372.0
2;1;potencia_minima;12/2021;1826.0;1926.0;1881.0
2;1;potencia_maxima;12/2021;1826.0;1926.0;1881.0
3;1;potencia_minima;12/2021;7828.0;8522.0;8403.0
3;1;potencia_maxima;12/2021;7828.0;8522.0;8403.0
4;1;potencia_minima;12/2021;574.0;596.0;599.0
4;1;potencia_maxima;12/2021;574.0;596.0;599.0
1;1;potencia_minima;01/2022;4034.0;3528.0;3549.0
1;1;potencia_maxima;01/2022;4034.0;3528.0;3549.0
2;1;potencia_minima;01/2022;1924.0;2026.0;1976.0
2;1;potencia_maxima;01/2022;1924.0;2026.0;1976.0
3;1;potencia_minima;01/2022;7489.0;7336.0;7225.0
3;1;potencia_maxima;01/2022;7489.0;7336.0;7225.0
4;1;potencia_minima;01/2022;489.0;482.0;471.0
4;1;potencia_maxima;01/2022;489.0;482.0;471.0
1;1;potencia_minima;02/2022;4223.0;3775.0;3820.0
1;1;potencia_maxima;02/2022;4223.0;3775.0;3820.0
2;1;potencia_minima;02/2022;1832.0;1923.0;1786.0
2;1;potencia_maxima;02/2022;1832.0;1923.0;1786.0
3;1;potencia_minima;02/2022;6304.0;6038.0;5911.0
3;1;potencia_maxima;02/2022;6304.0;6038.0;5911.0
4;1;potencia_minima;02/2022;439.0;441.0;414.0
4;1;potencia_maxima;02/2022;439.0;441.0;414.0
1;1;potencia_minima;03/2022;4821.0;4359.0;4384.0
1;1;potencia_maxima;03/2022;4821.0;4359.0;4384.0
2;1;potencia_minima;03/2022;1840.0;1923.0;1834.0
2;1;potencia_maxima;03/2022;1840.0;1923.0;1834.0
3;1;potencia_minima;03/2022;5565.0;5598.0;5582.0
3;1;potencia_maxima;03/2022;5565.0;5598.0;5582.0
4;1;potencia_minima;03/2022;420.0;421.0;404.0
4;1;potencia_maxima;03/2022;420.0;421.0;404.0
1;1;potencia_minima;04/2022;5933.0;5698.0;5720.0
1;1;potencia_maxima;04/2022;5933.0;5698.0;5720.0
2;1;potencia_minima;04/2022;2003.0;2013.0;1871.0
2;1;potencia_maxima;04/2022;2003.0;2013.0;1871.0
3;1;potencia_minima;04/2022;6378.0;7097.0;6834.0
3;1;potencia_maxima;04/2022;6378.0;7097.0;6834.0
4;1;potencia_minima;04/2022;424.0;394.0;384.0
4;1;potencia_maxima;04/2022;424.0;394.0;384.0
1;1;potencia_minima;05/2022;6646.1774;6422.6352;6313.459699999999
1;1;potencia_maxima;05/2022;6646.1774;6422.6352;6313.459699999999
2;1;potencia_minima;05/2022;1904.3491999999999;1964.7195000000002;1961.8399999999997
2;1;potencia_maxima;05/2022;1904.3491999999999;1964.7195000000002;1961.8399999999997
3;1;potencia_minima;05/2022;7854.1073;9114.561699999998;8721.6721
3;1;potencia_maxima;05/2022;7854.1073;9114.561699999998;8721.6721
4;1;potencia_minima;05/2022;450.8574;432.32730000000004;416.93420000000003
4;1;potencia_maxima;05/2022;450.8574;432.32730000000004;416.93420000000003
1;1;potencia_minima;06/2022;6530.973599999999;6390.593500000001;6344.5062
1;1;potencia_maxima;06/2022;6530.973599999999;6390.593500000001;6344.5062
2;1;potencia_minima;06/2022;2230.9343999999996;2276.0544;2238.1518
2;1;potencia_maxima;06/2022;2230.9343999999996;2276.0544;2238.1518
3;1;potencia_minima;06/2022;9708.8475;10978.1107;10560.7832
3;1;potencia_maxima;06/2022;9708.8475;10978.1107;10560.7832
4;1;potencia_minima;06/2022;459.9577;439.4412;433.66859999999997
4;1;potencia_maxima;06/2022;459.9577;439.4412;433.66859999999997
1;1;potencia_minima;07/2022;6696.419699999999;6506.4059;6431.6384
1;1;potencia_maxima;07/2022;6696.419699999999;6506.4059;6431.6384
2;1;potencia_minima;07/2022;2112.0215;2170.9329;2130.2774999999997
2;1;potencia_maxima;07/2022;2112.0215;2170.9329;2130.2774999999997
3;1;potencia_minima;07/2022;11482.2732;12397.9715;11755.685300000001
