idRestricaoEletrica;AttMatriz;Iteradores;1;2;3
2;potencia_minima;11/2024;0;0;0
2;potencia_minima;12/2024;0;0;0
3;potencia_maxima;01/2020;3883;3883;3736
3;potencia_maxima;02/2020;3736;3736;3736
3;potencia_maxima;03/2020;3100;3100;3736
3;potencia_maxima;04/2020;2600;2000;1500
3;potencia_maxima;05/2020;2000;2000;1500
3;potencia_maxima;06/2020;2000;2000;1500
3;potencia_maxima;07/2020;2000;2000;1500
3;potencia_maxima;08/2020;4100;4100;4100
3;potencia_maxima;09/2020;4100;4100;4100
3;potencia_maxima;10/2020;3500;3500;3500
3;potencia_maxima;11/2020;3500;3500;3500
3;potencia_maxima;12/2020;3767;3756;3729
3;potencia_maxima;01/2021;4100;4100;4100
3;potencia_maxima;02/2021;3600;3600;3300
3;potencia_maxima;03/2021;3600;3600;3300
3;potencia_maxima;04/2021;3600;3600;3000
3;potencia_maxima;05/2021;3600;3300;3000
3;potencia_maxima;06/2021;3900;3900;3900
3;potencia_maxima;07/2021;4100;4100;4100
3;potencia_maxima;08/2021;4100;4100;4100
3;potencia_maxima;09/2021;4100;4100;4100
3;potencia_maxima;10/2021;4100;4100;4100
3;potencia_maxima;11/2021;4700;4700;4700
3;potencia_maxima;12/2021;4100;4100;4100
3;potencia_maxima;01/2022;3600;3600;3300
3;potencia_maxima;02/2022;3600;3600;3300
3;potencia_maxima;03/2022;3400;3400;3100
3;potencia_maxima;04/2022;3600;3300;3300
3;potencia_maxima;05/2022;3500;3500;3200
3;potencia_maxima;06/2022;3900;3900;3900
3;potencia_maxima;07/2022;4100;4100;4100
3;potencia_maxima;08/2022;4100;4100;4100
3;potencia_maxima;09/2022;4100;4100;4100
3;potencia_maxima;10/2022;4100;4100;4100
3;potencia_maxima;11/2022;4700;4700;4700
3;potencia_maxima;12/2022;4100;4100;4100
3;potencia_maxima;01/2023;3600;3600;3300
3;potencia_maxima;02/2023;3600;3600;3300
3;potencia_maxima;03/2023;3400;3400;3100
3;potencia_maxima;04/2023;3600;3300;3300
3;potencia_maxima;05/2023;3500;3500;3200
3;potencia_maxima;06/2023;3900;3900;3900
3;potencia_maxima;07/2023;4100;4100;4100
3;potencia_maxima;08/2023;4100;4100;4100
3;potencia_maxima;09/2023;4100;4100;4100
3;potencia_maxima;10/2023;4100;4100;4100
3;potencia_maxima;11/2023;4700;4700;4700
3;potencia_maxima;12/2023;4100;4100;4100
3;potencia_maxima;01/2024;3600;3600;3300
3;potencia_maxima;02/2024;3600;3600;3300
3;potencia_maxima;03/2024;3400;3400;3100
3;potencia_maxima;04/2024;3600;3300;3300
3;potencia_maxima;05/2024;3500;3500;3200
3;potencia_maxima;06/2024;3900;3900;3900
3;potencia_maxima;07/2024;4100;4100;4100
3;potencia_maxima;08/2024;4100;4100;4100
3;potencia_maxima;09/2024;4100;4100;4100
3;potencia_maxima;10/2024;4100;4100;4100
3;potencia_maxima;11/2024;4700;4700;4700
3;potencia_maxima;12/2024;4100;4100;4100
3;potencia_minima;01/2020;0;0;0
3;potencia_minima;02/2020;0;0;0
3;potencia_minima;03/2020;0;0;0
3;potencia_minima;04/2020;0;0;0
3;potencia_minima;05/2020;0;0;0
3;potencia_minima;06/2020;0;0;0
3;potencia_minima;07/2020;0;0;0
3;potencia_minima;08/2020;0;0;0
3;potencia_minima;09/2020;0;0;0
3;potencia_minima;10/2020;0;0;0
3;potencia_minima;11/2020;0;0;0
3;potencia_minima;12/2020;0;0;0
3;potencia_minima;01/2021;0;0;0
3;potencia_minima;02/2021;0;0;0
3;potencia_minima;03/2021;0;0;0
3;potencia_minima;04/2021;0;0;0
3;potencia_minima;05/2021;0;0;0
3;potencia_minima;06/2021;0;0;0
3;potencia_minima;07/2021;0;0;0
3;potencia_minima;08/2021;0;0;0
3;potencia_minima;09/2021;0;0;0
3;potencia_minima;10/2021;0;0;0
3;potencia_minima;11/2021;0;0;0
3;potencia_minima;12/2021;0;0;0
3;potencia_minima;01/2022;0;0;0
3;potencia_minima;02/2022;0;0;0
3;potencia_minima;03/2022;0;0;0
3;potencia_minima;04/2022;0;0;0
3;potencia_minima;05/2022;0;0;0
3;potencia_minima;06/2022;0;0;0
3;potencia_minima;07/2022;0;0;0
3;potencia_minima;08/2022;0;0;0
3;potencia_minima;09/2022;0;0;0
3;potencia_minima;10/2022;0;0;0
3;potencia_minima;11/2022;0;0;0
3;potencia_minima;12/2022;0;0;0
3;potencia_minima;01/2023;0;0;0
3;potencia_minima;02/2023;0;0;0
3;potencia_minima;03/2023;0;0;0
3;potencia_minima;04/2023;0;0;0
3;potencia_minima;05/2023;0;0;0
3;potencia_minima;06/2023;0;0;0
3;potencia_minima;07/2023;0;0;0
3;potencia_minima;08/2023;0;0;0
3;potencia_minima;09/2023;0;0;0
3;potencia_minima;10/2023;0;0;0
3;potencia_minima;11/2023;0;0;0
3;potencia_minima;12/2023;0;0;0
3;potencia_minima;01/2024;0;0;0
3;potencia_minima;02/2024;0;0;0
3;potencia_minima;03/2024;0;0;0
3;potencia_minima;04/2024;0;0;0
3;potencia_minima;05/2024;0;0;0
3;potencia_minima;06/2024;0;0;0
3;potencia_minima;07/2024;0;0;0
3;potencia_minima;08/2024;0;0;0
3;potencia_minima;09/2024;0;0;0
3;potencia_minima;10/2024;0;0;0
3;potencia_minima;11/2024;0;0;0
3;potencia_minima;12/2024;0;0;0
4;potencia_maxima;01/2020;6000;6000;6000
4;potencia_maxima;02/2020;6000;6000;6000
4;potencia_maxima;03/2020;6000;6000;6000
4;potencia_maxima;04/2020;6000;6000;6000
4;potencia_maxima;05/2020;6000;6000;6000
4;potencia_maxima;06/2020;6000;6000;6000
4;potencia_maxima;07/2020;6000;6000;6000
4;potencia_maxima;08/2020;6000;6000;6000
4;potencia_maxima;09/2020;6000;6000;6000
4;potencia_maxima;10/2020;6000;6000;6000
4;potencia_maxima;11/2020;6000;6000;6000
4;potencia_maxima;12/2020;6000;6000;6000
4;potencia_maxima;01/2021;6000;6000;6000
4;potencia_maxima;02/2021;6000;6000;6000
4;potencia_maxima;03/2021;6000;6000;6000
4;potencia_maxima;04/2021;6000;6000;6000
4;potencia_maxima;05/2021;6000;6000;6000
4;potencia_maxima;06/2021;7500;7500;7500
4;potencia_maxima;07/2021;7500;7500;7500
4;potencia_maxima;08/2021;7500;7500;7500
4;potencia_maxima;09/2021;8000;8000;8000
4;potencia_maxima;10/2021;8000;8000;8000
4;potencia_maxima;11/2021;9800;9800;9800
4;potencia_maxima;12/2021;8000;8000;8000
4;potencia_maxima;01/2022;9000;9000;9000
4;potencia_maxima;02/2022;9000;9000;9000
4;potencia_maxima;03/2022;11000;11000;11000
4;potencia_maxima;04/2022;11000;11000;11000
