idTermeletrica;AttMatriz;Iteradores;1;2;3
29;potencia_disponivel_minima;01/2020;0;0;0
29;potencia_disponivel_maxima;01/2020;0;0;0
30;custo_de_operacao;01/2020;1162.380000000000;1162.380000000000;1162.380000000000
30;potencia_util;01/2020;0;0;0
30;potencia_minima;01/2020;0;0;0
30;potencia_disponivel_minima;01/2020;0;0;0
30;potencia_disponivel_maxima;01/2020;0;0;0
31;potencia_disponivel_maxima;01/2020;140;140;140
31;potencia_disponivel_minima;01/2020;0;0;0
31;potencia_minima;01/2020;0;0;0
31;potencia_util;01/2020;140;140;140
31;custo_de_operacao;01/2020;1218.380000000000;1218.380000000000;1218.380000000000
32;custo_de_operacao;01/2020;1671.600000000000;1671.600000000000;1671.600000000000
32;potencia_util;01/2020;53.500000000000;53.500000000000;53.500000000000
32;potencia_minima;01/2020;0;0;0
32;potencia_disponivel_minima;01/2020;0;0;0
32;potencia_disponivel_maxima;01/2020;53.500000000000;53.500000000000;53.500000000000
33;custo_de_operacao;01/2020;67.120000000000;67.120000000000;67.120000000000
33;potencia_util;01/2020;175;175;175
33;potencia_minima;01/2020;170;170;170
33;potencia_disponivel_minima;01/2020;170;170;170
33;potencia_disponivel_maxima;01/2020;345;345;345
34;potencia_disponivel_minima;01/2020;0;0;0
34;potencia_minima;01/2020;0;0;0
34;potencia_disponivel_maxima;01/2020;8;8;8
34;custo_de_operacao;01/2020;84.440000000000;84.440000000000;84.440000000000
34;potencia_util;01/2020;8;8;8
35;custo_de_operacao;01/2020;84.720000000000;84.720000000000;84.720000000000
35;potencia_util;01/2020;100;100;100
35;potencia_minima;01/2020;210;210;210
35;potencia_disponivel_minima;01/2020;210;210;210
35;potencia_disponivel_maxima;01/2020;310;310;310
36;custo_de_operacao;01/2020;193.620000000000;193.620000000000;193.620000000000
36;potencia_util;01/2020;363;363;363
36;potencia_minima;01/2020;0;0;0
36;potencia_disponivel_minima;01/2020;0;0;0
36;potencia_disponivel_maxima;01/2020;363;363;363
37;potencia_disponivel_minima;01/2020;0;0;0
37;potencia_minima;01/2020;0;0;0
37;potencia_disponivel_maxima;01/2020;262;262;262
37;custo_de_operacao;01/2020;228.120000000000;228.120000000000;228.120000000000
37;potencia_util;01/2020;262;262;262
38;custo_de_operacao;01/2020;235.350000000000;235.350000000000;235.350000000000
38;potencia_util;01/2020;132;132;132
38;potencia_minima;01/2020;0;0;0
38;potencia_disponivel_minima;01/2020;0;0;0
38;potencia_disponivel_maxima;01/2020;132;132;132
39;potencia_disponivel_maxima;01/2020;100;100;100
39;potencia_disponivel_minima;01/2020;0;0;0
39;potencia_minima;01/2020;0;0;0
39;custo_de_operacao;01/2020;254.970000000000;254.970000000000;254.970000000000
39;potencia_util;01/2020;100;100;100
40;custo_de_operacao;01/2020;303.190000000000;303.190000000000;303.190000000000
40;potencia_util;01/2020;1;1;1
40;potencia_minima;01/2020;2;2;2
40;potencia_disponivel_minima;01/2020;2;2;2
40;potencia_disponivel_maxima;01/2020;3;3;3
41;potencia_disponivel_minima;01/2020;0;0;0
41;potencia_minima;01/2020;0;0;0
41;potencia_disponivel_maxima;01/2020;0;0;0
41;custo_de_operacao;01/2020;475.680000000000;475.680000000000;475.680000000000
41;potencia_util;01/2020;0;0;0
42;custo_de_operacao;01/2020;486.200000000000;486.200000000000;486.200000000000
42;potencia_util;01/2020;0;0;0
42;potencia_minima;01/2020;0;0;0
42;potencia_disponivel_minima;01/2020;0;0;0
42;potencia_disponivel_maxima;01/2020;0;0;0
43;custo_de_operacao;01/2020;678.180000000000;678.180000000000;678.180000000000
43;potencia_util;01/2020;0;0;0
43;potencia_minima;01/2020;0;0;0
43;potencia_disponivel_minima;01/2020;0;0;0
43;potencia_disponivel_maxima;01/2020;0;0;0
44;potencia_disponivel_minima;01/2020;0;0;0
44;potencia_minima;01/2020;0;0;0
44;potencia_disponivel_maxima;01/2020;243.100000000000;243.100000000000;243.100000000000
44;custo_de_operacao;01/2020;698.140000000000;698.140000000000;698.140000000000
44;potencia_util;01/2020;243.100000000000;243.100000000000;243.100000000000
45;potencia_disponivel_maxima;01/2020;532.700000000000;532.700000000000;532.700000000000
45;potencia_disponivel_minima;01/2020;348.800000000000;348.800000000000;348.800000000000
45;custo_de_operacao;01/2020;126.960000000000;126.960000000000;126.960000000000
45;potencia_util;01/2020;183.900000000000;183.900000000000;183.900000000000
45;potencia_minima;01/2020;348.800000000000;348.800000000000;348.800000000000
46;custo_de_operacao;01/2020;136.370000000000;136.370000000000;136.370000000000
46;potencia_util;01/2020;720;720;720
46;potencia_disponivel_minima;01/2020;0;0;0
46;potencia_disponivel_maxima;01/2020;720;720;720
46;potencia_minima;01/2020;0;0;0
47;custo_de_operacao;01/2020;148.410000000000;148.410000000000;148.410000000000
47;potencia_util;01/2020;365;365;365
47;potencia_minima;01/2020;0;0;0
47;potencia_disponivel_minima;01/2020;0;0;0
47;potencia_disponivel_maxima;01/2020;365;365;365
48;potencia_disponivel_maxima;01/2020;28;28;28
48;potencia_disponivel_minima;01/2020;0;0;0
48;potencia_minima;01/2020;0;0;0
48;custo_de_operacao;01/2020;159.370000000000;159.370000000000;159.370000000000
48;potencia_util;01/2020;28;28;28
49;custo_de_operacao;01/2020;173.380000000000;173.380000000000;173.380000000000
49;potencia_util;01/2020;201.400000000000;196.400000000000;181.900000000000
49;potencia_minima;01/2020;0;0;0
49;potencia_disponivel_minima;01/2020;0;0;0
49;potencia_disponivel_maxima;01/2020;201.400000000000;196.400000000000;181.900000000000
50;custo_de_operacao;01/2020;300.780000000000;300.780000000000;300.780000000000
50;potencia_util;01/2020;248.800000000000;248.800000000000;248.800000000000
50;potencia_minima;01/2020;0;0;0
50;potencia_disponivel_minima;01/2020;0;0;0
50;potencia_disponivel_maxima;01/2020;248.800000000000;248.800000000000;248.800000000000
51;potencia_disponivel_minima;01/2020;0;0;0
51;potencia_minima;01/2020;0;0;0
51;potencia_disponivel_maxima;01/2020;144;144;144
51;custo_de_operacao;01/2020;301.300000000000;301.300000000000;301.300000000000
51;potencia_util;01/2020;144;144;144
52;custo_de_operacao;01/2020;345.020000000000;345.020000000000;345.020000000000
52;potencia_util;01/2020;20;20;20
52;potencia_minima;01/2020;0;0;0
52;potencia_disponivel_minima;01/2020;0;0;0
52;potencia_disponivel_maxima;01/2020;20;20;20
53;potencia_disponivel_maxima;01/2020;105.700000000000;105.700000000000;105.700000000000
53;potencia_disponivel_minima;01/2020;0;0;0
53;potencia_minima;01/2020;0;0;0
53;custo_de_operacao;01/2020;368.250000000000;368.250000000000;368.250000000000
53;potencia_util;01/2020;105.700000000000;105.700000000000;105.700000000000
54;custo_de_operacao;01/2020;374.870000000000;374.870000000000;374.870000000000
54;potencia_util;01/2020;0;0;0
54;potencia_minima;01/2020;0;0;0
54;potencia_disponivel_minima;01/2020;0;0;0
54;potencia_disponivel_maxima;01/2020;0;0;0
55;potencia_disponivel_minima;01/2020;0;0;0
55;potencia_minima;01/2020;0;0;0
55;potencia_disponivel_maxima;01/2020;0;0;0
55;custo_de_operacao;01/2020;450.860000000000;450.860000000000;450.860000000000
55;potencia_util;01/2020;0;0;0
56;custo_de_operacao;01/2020;510.120000000000;510.120000000000;510.120000000000
56;potencia_util;01/2020;0;0;0
56;potencia_minima;01/2020;22.400000000000;22.400000000000;22.400000000000
