idHidreletrica;idAfluencia;AttMatriz;Iteradores;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019
85;vazao_afluente;natural_tendencia;1;95;128;76;79;56;61;43;44;40;49;67
86;vazao_afluente;natural_tendencia;1;241;374;211;184;133;145;98;101;91;119;218
87;vazao_afluente;natural_tendencia;1;10;11;7;10;8;10;4;3;3;4;4
88;vazao_afluente;natural_tendencia;1;306;484;277;243;162;165;116;118;116;150;300
89;vazao_afluente;natural_tendencia;1;26;34;25;19;16;13;11;11;12;20;39
90;vazao_afluente;natural_tendencia;1;54;66;43;34;29;23;18;18;24;39;87
91;vazao_afluente;natural_tendencia;1;519;747;467;408;278;254;197;199;202;275;623
92;vazao_afluente;natural_tendencia;1;575;826;509;449;300;280;219;222;227;310;678
93;vazao_afluente;natural_tendencia;1;0;0;0;0;0;0;0;0;0;0;0
94;vazao_afluente;natural_tendencia;1;10;11;7;10;8;10;4;3;3;4;4
95;vazao_afluente;natural_tendencia;1;91;107;77;55;37;29;26;20;23;68;182
96;vazao_afluente;natural_tendencia;1;93;109;79;57;38;30;27;21;24;69;187
97;vazao_afluente;natural_tendencia;1;84;111;104;84;56;46;41;38;31;67;135
98;vazao_afluente;natural_tendencia;1;308;363;286;223;151;123;108;94;98;217;517
99;vazao_afluente;natural_tendencia;1;417;462;364;290;195;159;143;127;140;281;712
100;vazao_afluente;natural_tendencia;1;473;511;403;324;217;177;160;144;161;316;812
101;vazao_afluente;natural_tendencia;1;102;57;48;20;10;6;5;4;3;32;143
102;vazao_afluente;natural_tendencia;1;144;155;144;134;119;115;106;95;96;104;152
103;vazao_afluente;natural_tendencia;1;134;117;111;56;28;27;35;20;15;28;230
104;vazao_afluente;natural_tendencia;1;76;89;60;42;33;31;32;25;32;51;113
105;vazao_afluente;natural_tendencia;1;555;916;455;348;214;163;125;74;81;229;723
106;vazao_afluente;natural_tendencia;1;26;47;60;41;28;24;19;16;13;12;21
107;vazao_afluente;natural_tendencia;1;1430;2163;1930;1228;770;579;487;381;317;495;1772
108;vazao_afluente;natural_tendencia;1;1430;2163;1930;1228;770;579;487;381;317;495;1772
109;vazao_afluente;natural_tendencia;1;1430;2163;1930;1228;770;579;487;381;317;495;1772
110;vazao_afluente;natural_tendencia;1;1430;2163;1930;1228;770;579;487;381;317;495;1772
111;vazao_afluente;natural_tendencia;1;0;0;0;0;0;0;0;0;0;0;0
112;vazao_afluente;natural_tendencia;1;1430;2163;1930;1228;770;579;487;381;317;495;1772
113;vazao_afluente;natural_tendencia;1;24;27;18;25;13;11;10;8;8;10;9
114;vazao_afluente;natural_tendencia;1;34;40;27;36;19;16;14;12;11;14;14
115;vazao_afluente;natural_tendencia;1;0;0;0;0;0;0;0;0;0;0;0
116;vazao_afluente;natural_tendencia;1;10;11;7;10;8;10;4;3;3;4;4
117;vazao_afluente;natural_tendencia;1;0;0;0;0;0;0;0;0;0;0;0
118;vazao_afluente;natural_tendencia;1;6;190;117;19;11;25;32;14;6;7;6
119;vazao_afluente;natural_tendencia;1;424;530;630;345;259;238;195;189;207;192;215
120;vazao_afluente;natural_tendencia;1;61;76;51;37;27;21;18;14;15;44;68
121;vazao_afluente;natural_tendencia;1;65;79;54;39;28;22;19;15;16;46;74
122;vazao_afluente;natural_tendencia;1;89;84;94;83;72;67;66;66;69;77;81
123;vazao_afluente;natural_tendencia;1;40;41;44;40;34;33;32;31;34;37;38
124;vazao_afluente;natural_tendencia;1;110;184;202;114;71;52;39;28;27;47;101
125;vazao_afluente;natural_tendencia;1;1608;1259;1759;2852;1910;1308;972;520;315;329;583
126;vazao_afluente;natural_tendencia;1;100;111;78;100;154;44;23;37;66;116;45
127;vazao_afluente;natural_tendencia;1;31;29;30;22;14;12;10;8;9;46;52
128;vazao_afluente;natural_tendencia;1;1436;1693;1391;889;636;519;473;395;491;594;836
129;vazao_afluente;natural_tendencia;1;1487;1809;1489;936;680;544;475;415;558;658;917
130;vazao_afluente;natural_tendencia;1;3181;4801;4724;2454;1300;848;611;478;746;1142;2181
131;vazao_afluente;natural_tendencia;1;3185;4819;4765;2487;1315;852;614;479;745;1138;2190
132;vazao_afluente;natural_tendencia;1;244;279;246;203;148;131;123;104;112;128;211
133;vazao_afluente;natural_tendencia;1;206;333;218;205;360;234;138;154;93;206;311
134;vazao_afluente;natural_tendencia;1;508;862;939;418;258;182;140;94;114;191;270
135;vazao_afluente;natural_tendencia;1;555;975;1044;460;278;194;150;105;126;209;296
136;vazao_afluente;natural_tendencia;1;597;1080;1156;504;299;207;160;116;137;225;322
137;vazao_afluente;natural_tendencia;1;986;1977;1947;815;450;301;232;204;234;371;513
138;vazao_afluente;natural_tendencia;1;1350;2815;2894;1188;626;407;312;294;333;504;742
139;vazao_afluente;natural_tendencia;1;227;252;226;185;135;120;112;94;104;119;196
140;vazao_afluente;natural_tendencia;1;2928;5334;6292;2627;1416;1005;790;684;930;1131;1471
