idIntercambio;AttMatriz;Iteradores;1;2;3
16;potencia_minima;05/2020;0;0;0
17;potencia_minima;05/2020;0;0;0
17;potencia_maxima;05/2020;2500;2500;2500
1;potencia_minima;06/2020;0;0;0
1;potencia_maxima;06/2020;6300;6300;5500
2;potencia_minima;06/2020;0;0;0
2;potencia_maxima;06/2020;9320;9320;9320
3;potencia_maxima;06/2020;11000;11000;11000
3;potencia_minima;06/2020;0;0;0
4;potencia_minima;06/2020;0;0;0
4;potencia_maxima;06/2020;6800;6800;6800
5;potencia_maxima;06/2020;99999;99999;99999
5;potencia_minima;06/2020;0;0;0
6;potencia_minima;06/2020;3745;3703;3328
6;potencia_maxima;06/2020;7000;7000;7000
7;potencia_minima;06/2020;1680;1680;1680
7;potencia_maxima;06/2020;7000;7000;7000
8;potencia_minima;06/2020;0;0;0
8;potencia_maxima;06/2020;99999;99999;99999
9;potencia_minima;06/2020;0;0;0
9;potencia_maxima;06/2020;99999;99999;99999
10;potencia_maxima;06/2020;4500;4500;4500
10;potencia_minima;06/2020;0;0;0
11;potencia_maxima;06/2020;5500;5500;5500
11;potencia_minima;06/2020;0;0;0
12;potencia_minima;06/2020;0;0;0
12;potencia_maxima;06/2020;4000;4000;4000
13;potencia_maxima;06/2020;4000;4000;4000
13;potencia_minima;06/2020;0;0;0
14;potencia_maxima;06/2020;1000;1000;1000
14;potencia_minima;06/2020;0;0;0
15;potencia_maxima;06/2020;2000;2000;2000
15;potencia_minima;06/2020;0;0;0
16;potencia_maxima;06/2020;8000;8000;8000
16;potencia_minima;06/2020;0;0;0
17;potencia_minima;06/2020;0;0;0
17;potencia_maxima;06/2020;2500;2500;2500
1;potencia_minima;07/2020;0;0;0
1;potencia_maxima;07/2020;6300;6300;5500
2;potencia_minima;07/2020;0;0;0
2;potencia_maxima;07/2020;9320;9320;9320
3;potencia_maxima;07/2020;11000;11000;11000
3;potencia_minima;07/2020;0;0;0
4;potencia_minima;07/2020;0;0;0
4;potencia_maxima;07/2020;6800;6800;6800
5;potencia_maxima;07/2020;99999;99999;99999
5;potencia_minima;07/2020;0;0;0
6;potencia_minima;07/2020;3764;3722;3343
6;potencia_maxima;07/2020;7000;7000;7000
7;potencia_minima;07/2020;1680;1680;1680
7;potencia_maxima;07/2020;7000;7000;7000
8;potencia_minima;07/2020;0;0;0
8;potencia_maxima;07/2020;99999;99999;99999
9;potencia_minima;07/2020;0;0;0
9;potencia_maxima;07/2020;99999;99999;99999
10;potencia_maxima;07/2020;4500;4500;4500
10;potencia_minima;07/2020;0;0;0
11;potencia_maxima;07/2020;5500;5500;5500
11;potencia_minima;07/2020;0;0;0
12;potencia_minima;07/2020;0;0;0
12;potencia_maxima;07/2020;4000;4000;4000
13;potencia_maxima;07/2020;4000;4000;4000
13;potencia_minima;07/2020;0;0;0
14;potencia_maxima;07/2020;1000;1000;1000
14;potencia_minima;07/2020;0;0;0
15;potencia_maxima;07/2020;2000;2000;2000
15;potencia_minima;07/2020;0;0;0
16;potencia_maxima;07/2020;8000;8000;8000
16;potencia_minima;07/2020;0;0;0
17;potencia_minima;07/2020;0;0;0
17;potencia_maxima;07/2020;2500;2500;2500
1;potencia_minima;08/2020;0;0;0
1;potencia_maxima;08/2020;9300;9300;8200
2;potencia_minima;08/2020;0;0;0
2;potencia_maxima;08/2020;8520;9320;9320
3;potencia_maxima;08/2020;10200;11000;11000
3;potencia_minima;08/2020;0;0;0
4;potencia_minima;08/2020;0;0;0
4;potencia_maxima;08/2020;6500;6800;6800
5;potencia_maxima;08/2020;99999;99999;99999
5;potencia_minima;08/2020;0;0;0
6;potencia_minima;08/2020;3753;3711;3334
6;potencia_maxima;08/2020;7000;7000;7000
7;potencia_minima;08/2020;1680;1680;1680
7;potencia_maxima;08/2020;7000;7000;7000
8;potencia_minima;08/2020;0;0;0
8;potencia_maxima;08/2020;99999;99999;99999
9;potencia_minima;08/2020;0;0;0
9;potencia_maxima;08/2020;99999;99999;99999
10;potencia_maxima;08/2020;4500;4500;4500
10;potencia_minima;08/2020;0;0;0
11;potencia_maxima;08/2020;5500;5500;5500
11;potencia_minima;08/2020;0;0;0
12;potencia_minima;08/2020;0;0;0
12;potencia_maxima;08/2020;4000;4000;4000
13;potencia_maxima;08/2020;4000;4000;4000
13;potencia_minima;08/2020;0;0;0
14;potencia_maxima;08/2020;1300;1300;1300
14;potencia_minima;08/2020;0;0;0
15;potencia_maxima;08/2020;2000;2000;2000
15;potencia_minima;08/2020;0;0;0
16;potencia_maxima;08/2020;6000;6000;5000
16;potencia_minima;08/2020;0;0;0
17;potencia_minima;08/2020;0;0;0
17;potencia_maxima;08/2020;2500;2500;2500
1;potencia_minima;09/2020;0;0;0
1;potencia_maxima;09/2020;10000;10000;8500
2;potencia_minima;09/2020;0;0;0
2;potencia_maxima;09/2020;8520;9320;9320
3;potencia_maxima;09/2020;10200;11000;11000
3;potencia_minima;09/2020;0;0;0
4;potencia_minima;09/2020;0;0;0
4;potencia_maxima;09/2020;6500;6800;6800
5;potencia_maxima;09/2020;99999;99999;99999
5;potencia_minima;09/2020;0;0;0
6;potencia_minima;09/2020;3814;3768;3383
6;potencia_maxima;09/2020;7000;7000;7000
7;potencia_minima;09/2020;1680;1680;1680
7;potencia_maxima;09/2020;7000;7000;7000
8;potencia_minima;09/2020;0;0;0
8;potencia_maxima;09/2020;99999;99999;99999
9;potencia_minima;09/2020;0;0;0
9;potencia_maxima;09/2020;99999;99999;99999
10;potencia_maxima;09/2020;4500;4500;4500
10;potencia_minima;09/2020;0;0;0
11;potencia_maxima;09/2020;5500;5500;5500
11;potencia_minima;09/2020;0;0;0
12;potencia_minima;09/2020;0;0;0
12;potencia_maxima;09/2020;4000;4000;4000
13;potencia_maxima;09/2020;4000;4000;4000
13;potencia_minima;09/2020;0;0;0
14;potencia_maxima;09/2020;1300;1300;1300
14;potencia_minima;09/2020;0;0;0
15;potencia_maxima;09/2020;2000;2000;2000
15;potencia_minima;09/2020;0;0;0
16;potencia_maxima;09/2020;6000;6000;5000
16;potencia_minima;09/2020;0;0;0
17;potencia_minima;09/2020;0;0;0
17;potencia_maxima;09/2020;2500;2500;2500
1;potencia_minima;10/2020;0;0;0
1;potencia_maxima;10/2020;11100;11100;10500
2;potencia_minima;10/2020;0;0;0
2;potencia_maxima;10/2020;8520;9320;9320
3;potencia_maxima;10/2020;10200;11000;11000
3;potencia_minima;10/2020;0;0;0
4;potencia_minima;10/2020;0;0;0
4;potencia_maxima;10/2020;6500;6800;6800
5;potencia_maxima;10/2020;99999;99999;99999
5;potencia_minima;10/2020;0;0;0
6;potencia_minima;10/2020;4001;3950;3527
6;potencia_maxima;10/2020;7000;7000;7000
7;potencia_minima;10/2020;1680;1680;1680
7;potencia_maxima;10/2020;7000;7000;7000
8;potencia_minima;10/2020;0;0;0
8;potencia_maxima;10/2020;99999;99999;99999
9;potencia_minima;10/2020;0;0;0
9;potencia_maxima;10/2020;99999;99999;99999
10;potencia_maxima;10/2020;4500;4500;4500
10;potencia_minima;10/2020;0;0;0
11;potencia_maxima;10/2020;5500;5500;5500
11;potencia_minima;10/2020;0;0;0
12;potencia_minima;10/2020;0;0;0
12;potencia_maxima;10/2020;4000;4000;4000
