idRestricaoEletrica;AttVetor;01/2020;02/2020;03/2020;04/2020;05/2020;06/2020;07/2020;08/2020;09/2020;10/2020;11/2020;12/2020;01/2021;02/2021;03/2021;04/2021;05/2021;06/2021;07/2021;08/2021;09/2021;10/2021;11/2021;12/2021;01/2022;02/2022;03/2022;04/2022;05/2022;06/2022;07/2022;08/2022;09/2022;10/2022;11/2022;12/2022;01/2023;02/2023;03/2023;04/2023;05/2023;06/2023;07/2023;08/2023;09/2023;10/2023;11/2023;12/2023;01/2024;02/2024;03/2024;04/2024;05/2024;06/2024;07/2024;08/2024;09/2024;10/2024;11/2024;12/2024;
11;potencia_minima_media;118;118.000000000118;129.000000000129;139;139.999999999860;140;140.000000000140;139.999999999860;139;134;126;121;115;118;121;124;125.999999999874;126;126.000000000126;121;118;115;114.999999999885;118;0;0;0;0;0;126;126;121;118;115;115;118;0;0;0;0;0;126;126;121;118;115;115;118.000000000000;0;0;0;0;0;126.000000000000;126;121;118;115;115;118;
11;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
12;potencia_minima_media;115;115.000000000115;115.000000000115;120;119.999999999880;120;120.000000000120;119.999999999880;120;120;115;115;90;90;115;115;114.999999999885;115;115.000000000115;115;90;90;89.999999999910;90;0;0;0;0;0;115;115;115;90;90;90;90;0;0;0;0;0;115;115;115;90;90;90;90;0;0;0;0;0;115;115;115;90;90;90;90;
12;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
13;potencia_minima_media;563;563.000000000563;563.000000000563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
14;potencia_minima_media;50;45.000000000045;45.000000000045;50;53.999999999946;57;57.000000000057;56.999999999943;57;55;55;55;48;48;48;48;47.999999999952;48;50.000000000050;50;50;50;49.999999999950;50;50;50;50;50;50;48;50;50;50;50;50;50;50;50;50;50;50;48;50;50;50;50;50;50.000000000000;50;50;50.000000000000;50;50;48;50;50;50;50;50;50;
14;potencia_maxima_media;212;212.000000000212;212.000000000212;212;211.999999999788;212;212.000000000212;211.999999999788;212;212;212;212;212;212;212;212;211.999999999788;212;212.000000000212;212;212;212;211.999999999788;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212;212.000000000000;212;212;212.000000000000;212;212;212;212;212;212;212;212;212;
15;potencia_minima_media;102;50.000000000050;50.000000000050;50;49.999999999950;50;50.000000000050;49.999999999950;50;50;50;50;50;50;42;42;41.999999999958;42;42.000000000042;42;42;42;41.999999999958;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;
15;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
16;potencia_minima_media;21;21.000000000021;21.000000000021;21;20.999999999979;21;21.000000000021;20.999999999979;21;21;21;21;21;21;16;16;15.999999999984;16;16.000000000016;16;16;16;15.999999999984;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;
16;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
17;potencia_minima_media;14;14.000000000014;14.000000000014;14;13.999999999986;14;14.000000000014;13.999999999986;14;14;14;14;14;14;14;14;13.999999999986;14;14.000000000014;14;14;14;13.999999999986;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14.000000000000;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;
17;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
18;potencia_minima_media;14;14.000000000014;14.000000000014;14;13.999999999986;14;14.000000000014;13.999999999986;14;14;14;14;14;14;14;14;13.999999999986;14;14.000000000014;14;14;14;13.999999999986;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14.000000000000;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;
18;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
19;potencia_minima_media;16;16.000000000016;16.000000000016;16;15.999999999984;16;16.000000000016;15.999999999984;16;16;16;16;16;16;16;16;15.999999999984;16;16.000000000016;16;16;16;15.999999999984;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;
19;potencia_maxima_media;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
20;potencia_minima_media;154;156.000000000156;166.000000000166;166;161.999999999838;162;80.000000000080;79.999999999920;80;80;80;80;80;80;80;80;79.999999999920;80;80.000000000080;80;80;80;79.999999999920;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;
